COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
57,0167,4/6/2020,E,58,38,34,73,224,824,1326,1297,966,787,679,725,689,770,665,611,632,608,444,347,230,181,137,67,12412,07,1326,,
57,0167,4/6/2020,W,48,36,21,27,63,157,331,439,505,527,629,821,823,885,1083,1305,1356,1174,801,487,250,229,184,135,12316,17,1356,,
79,0170,4/6/2020,E,26,7,3,14,34,57,172,206,259,227,265,274,323,349,327,371,465,496,284,198,133,84,54,40,4668,18,496,,
79,0170,4/6/2020,W,4,10,13,27,82,219,393,486,361,257,262,256,282,304,273,298,312,270,190,129,82,53,42,21,4626,08,486,,
72,0171,4/6/2020,N,240,176,187,248,460,1225,2961,3347,2818,2396,2360,2426,2613,2622,2820,3101,2935,2746,2152,1535,1184,908,747,551,42758,08,3347,,
72,0171,4/6/2020,S,294,245,201,241,443,1164,2676,3037,2685,2240,2194,2233,2392,2511,2688,3005,3109,2905,1941,1590,1181,839,738,570,41122,17,3109,,
72,0172,4/6/2020,N,76,34,42,45,86,291,773,849,781,661,700,752,780,765,739,789,762,700,656,531,378,230,178,103,11701,08,849,,
72,0172,4/6/2020,S,80,60,28,45,43,86,236,440,507,627,704,800,853,875,924,1148,1211,1186,841,719,516,311,214,173,12627,17,1211,,
47,0173,4/6/2020,E,14,6,11,20,79,131,136,138,176,174,241,261,260,225,230,291,325,268,180,139,73,38,24,17,3457,17,325,,
47,0173,4/6/2020,W,12,10,10,25,80,146,235,280,242,226,256,266,271,232,227,242,271,174,166,81,53,42,32,16,3595,08,280,,
93,0174,4/6/2020,N,311,198,184,269,617,1428,4010,5438,4832,3622,3322,3194,3455,3371,3558,3946,4490,4334,2786,1978,1419,1068,849,640,59319,08,5438,,
93,0174,4/6/2020,S,329,207,229,305,553,1422,3178,4513,3994,3384,3213,3300,3397,3446,3782,4913,5144,5002,3142,2238,1651,1147,873,750,60112,17,5144,,
75,0175,4/6/2020,N,59,48,28,66,128,318,683,760,764,802,756,806,911,894,889,918,875,877,623,426,286,215,149,108,12389,16,918,,
75,0175,4/6/2020,S,62,40,56,80,120,314,631,789,714,737,848,901,937,900,963,1049,1061,983,707,562,363,288,235,158,13498,17,1061,,
86,0176,4/6/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,0,,
86,0176,4/6/2020,S,64,50,37,29,51,86,239,330,369,421,434,480,523,549,516,498,557,534,463,403,319,207,179,125,7463,17,557,,
11,0177,4/6/2020,E,38,24,43,44,114,252,443,747,791,730,803,829,852,825,915,1014,1086,1040,640,394,293,174,137,99,12327,17,1086,,
